date,time,description,color
Di. 29. März,17:30 - 20:30,Sommer-Training beginnt
Fr. 01. April,16.30 – 19.30,Training,
Sa. 02. April,,Gruppenfinal Lupi 10m  Wil,
Di. 05. April,17.30 – 20.30,Training,
Fr. 08. April,16.30 – 19.30,Training,
Sa. 09. April,14.00 – 17.00,Training,
Di. 12. April,17.30 – 20.30,1. OP,green
Fr. 15. April,16.30 – 19.30,Training,
Sa. 16. April,14.00 – 17.00,Training,
Di. 19. April,17.30 – 20.30,Training,
Fr. 22. April,16.30 – 19.30,Training,
Sa. 23. April,14.00 – 17.00,Training,
Di. 26. April,17.30 – 20.30,Qualifikationsrunde (muss bis 09. Mai geschossen sein) 25m: 1. Runde,blue
Fr. 29. Mai,,Training,
Sa. 30. April,14.00 – 17.00,Training,
Di. 03. Mai,17.30 – 20.30,Qualifikationsrunde (muss bis 09. Mai geschossen sein) 50m: 1. Runde,blue
Fr. 06. Mai,16.30 – 19.30,Training,
Sa. 07. Mai,14.00 – 17.00,Training
Di. 10. Mai,17.30 – 20.30,2.OP,green
Fr. 13. Mai,16.30 – 19.30,Training,
Sa. 14. Mai,14.00 – 17.00,Training,
Di. 17. Mai,17.30 – 20.30,Feldstich,
Fr. 20. Mai,16.30 – 19.30,Training,
Sa. 21. Mai,14.00 – 17.00,Training,
Di. 24. Mai,17.30 – 20.30,Feldstich,
Fr.–So. 27.– 29. Mai,,Feldschiessen,red
Di. 31. Mai,17.30 – 20.30,3. OP,green
Di. 07. Juni,17.30 – 20.30,Einzelwettschiessen - Pistolenkonkurrenz - Subarucup Training,
Fr. 10. Juni,16.30 – 19.30,1. Hauptrunde (muss vom 30. Mai bis 13. Juni geschossen sein  25m & 50m),blue
Sa. 11. Juni,14.00 – 17.00,Training - Kantonalfinal 25m Gruppe,
Di. 14. Juni,17.30 – 20.30,Einzelwettschiessen - Pistolenkonkurrenz - Subarucup Training,
Fr. 17. Juni,16.30 – 19.30,Training,
Sa. 18 Juni,14.00 – 17.00,Training,,,Kantonalfinal 50m Gruppe,
Di. 21. Juni,17.30 – 20.30,2. Hauptrunde (muss vom 20. Juni bis 04. Juli geschossen sein  25m & 50m),blue
Fr. 24. Juni,16.30 – 19.30,Training Kantonalfinal 25/50m Einzel,
Sa. 25. Juni,14.00 – 17.00,Training Kantonalfinal 25/50m Einzel,
Di. 28. Juni,17.30 – 20.30,2. Hauptrunde (muss vom 20. Juni bis 04. Juli geschossen sein  25m & 50m),blue
Fr. 01. Juli,16.30 – 19.30,Training,
Sa. 02. Juli,14.00 – 17.00,Training,
Di. 05. Juli,17.30 – 20.30,Einzelwettschiessen - Pistolenkonkurrenz - Subarucup Training,
Fr. 08. Juli,16.30 – 19.30,Training,
Sa. 09. Juli,14.00 – 17.00,Training,
Di. 12. Juli,17.30 – 20.30,Einzelwettschiessen - Pistolenkonkurrenz - Subarucup Training,
Fr. 15. Juli,,Brätle Fanische,
Sa. 16. Juli,14.00 – 17.00,Training,
Di. 19. Juli,17.30 – 20.30,Einzelwettschiessen - Pistolenkonkurrenz - Subarucup Training,
Fr. 22. Juli,16.30 – 19.30,Training,
Sa. 23. Juli,14.00 – 17.00,Training,
Di. 26. Juli,17.30 – 20.30,Einzelwettschiessen - Pistolenkonkurrenz - Subarucup Training,
Fr. 29. Juli,16.30 – 19.30,Training,
Sa. 30. Juli,14.00 – 17.00,Training,
Di. 02. Aug.,17.30 – 20.30,Einzelwettschiessen - Pistolenkonkurrenz - Subarucup Training,
Fr. 05. Aug.,16.30 – 19.30,Training,
Sa. 06. Aug.,14.00 – 17.00,Training,
Di. 09. Aug. ,17.30 – 20.30,3. Hauptrunde (muss vom 08. Aug. bis 22. Aug. geschossen sein 25m & 50m),blue
Fr. 12. Aug.,16.30 – 19.30,Training,
Sa. 13. Aug.,14.00 – 17.00,Training,
Di. 16. Aug.,17.30 – 20.30,3. Hauptrunde (muss vom 08. Aug. bis 22. Aug.  geschossen sein 25m & 50m),blue
Fr. 19. Aug.,16.30 – 19.30,Training,
Sa. 21. & 22. Aug.,,Senslermeisterschaft ,
Di. 23. Aug.,17.30 – 20.30,Letztes OP,green
Fr. 26. Aug.,16.30 – 19.30,Training,
Sa. 27. Aug.,14.00 – 17.00,Training,
Di. 30. Aug.,17.30 – 20.30,Training,
Fr. 02. Sept.,16.30 – 19.30,Training,
Sa. 03. Sept.,,Final Gruppe 25m in Thun,blue
So. 04. Sept.,,Feldstich Final in Möhlin
So. 04.-11. Sept.,,Schweizermeisterschaft in Thun,
Di. 06. Sept.,17.30 – 20.30,Ausschiessen,
Fr. 09. Sept.,16.30 – 19.30 ???,Freundschaftsschiessen Plaffeien  in Plaffeien,
Sa. 10. Sept.,,Final FP EM 50m inLausanne,
Di. 13. Sept.,17.30 – 20.30,Ausschiessen,
Fr. 16. Sept.,16.30 – 19.30,Training,
Sa. 17. Sept.,14.00 – 17.00,Training,
Di. 20. Sept.,17.30 – 20.30,Ausschiessen,
Fr. 23. Sept.,16.30 – 19.30,Training,
Sa. 24. Sept.,14.00 – 17.00,Ausschiessen,
Di. 27. Sept.,17.30 – 20.30,Training,
Fr. 30. Sept.,,,,,
Sa. 01. Okt.,,Final Gruppe 50m in Buchs,blue
Di. 04. Okt.,,Wenn nötig
Fr. 07. Okt.,,Wenn nötig
Sa. 08. Okt.,,Wenn nötig
Di. 11. Okt.,,Wenn nötig
Fr. 14. Okt.,,Rangverkündigung Sternen Tentlingen Nachtessen
